roundID,score,movesExec,movesConsid,runtime
1,32,255,327,0.0026555
2,27,230,342,0.00302446
3,51,668,1118,0.00726858
4,51,557,997,0.00546787
5,26,282,455,0.00211638
6,26,182,250,0.0013665
7,17,127,190,0.000944042
8,43,446,731,0.00380183
9,22,186,231,0.00117042
10,36,323,509,0.00253421
11,35,317,445,0.00248358
12,27,266,497,0.00178442
13,36,281,391,0.00226833
14,34,407,641,0.00260879
15,30,380,568,0.00210542
16,37,333,495,0.00234017
17,41,436,667,0.00278562
18,27,235,314,0.00108679
19,29,275,395,0.00132687
20,23,215,274,0.000967375
21,30,376,647,0.00201017
22,29,259,417,0.00156608
23,19,150,237,0.000841042
24,20,189,246,0.000842625
25,48,457,674,0.00272183
26,17,151,198,0.00061275
27,22,181,265,0.000771708
28,36,326,450,0.00147808
29,30,299,458,0.00135546
30,35,373,592,0.00195629
31,26,232,276,0.00113029
32,22,204,310,0.000776958
33,35,293,424,0.00131687
34,21,188,275,0.00078125
35,23,167,223,0.000790875
36,20,165,223,0.000788208
37,35,350,548,0.00138204
38,35,347,523,0.00146525
39,32,266,366,0.00106908
40,36,343,481,0.00158525
41,42,410,619,0.00173104
42,30,317,475,0.00140313
43,20,137,165,0.000465833
44,19,129,178,0.000472334
45,35,358,647,0.0014145
46,42,403,620,0.001871
47,50,496,935,0.00199333
48,43,407,579,0.00174096
49,15,117,160,0.000359041
50,32,325,550,0.0014135
51,37,407,753,0.00162454
52,41,411,591,0.00155558
53,20,154,181,0.000472958
54,25,244,359,0.000855959
55,24,185,240,0.000587417
56,35,305,464,0.00130604
57,27,244,382,0.000820083
58,34,343,502,0.0012345
59,28,329,571,0.00110317
60,37,437,834,0.00174546
61,29,246,394,0.000967833
62,52,645,1093,0.00277658
63,42,463,752,0.00188633
64,28,246,342,0.00085925
65,37,467,801,0.00172313
66,25,234,369,0.000764292
67,25,217,296,0.00079075
68,22,199,306,0.000610167
69,31,272,370,0.00079925
70,19,151,252,0.000469333
71,40,451,691,0.00158804
72,31,349,588,0.00117938
73,35,290,418,0.00107892
74,22,218,303,0.00064725
75,32,338,509,0.00113033
76,33,380,672,0.00130475
77,29,280,391,0.000982375
78,27,238,333,0.000766833
79,36,315,493,0.000944666
80,32,303,453,0.00107208
81,39,361,538,0.00141342
82,29,303,510,0.000939208
83,21,173,283,0.000498292
84,37,407,648,0.00134854
85,24,208,314,0.000582541
86,33,313,475,0.00101533
87,32,273,346,0.000994875
88,31,278,384,0.001001
89,24,198,299,0.000581833
90,21,168,245,0.000491083
91,39,401,639,0.00138383
92,25,229,310,0.000654625
93,35,511,1000,0.00156529
94,28,229,308,0.000757083
95,24,203,269,0.000561709
96,24,199,306,0.000652
97,23,187,270,0.000542083
98,34,252,384,0.000859583
99,28,268,403,0.000954959
100,18,155,246,0.00042725
101,32,304,474,0.000958916
102,14,96,129,0.000268459
103,36,337,499,0.00131346
104,35,326,474,0.00116329
105,28,194,282,0.000755458
106,18,149,220,0.000414083
107,21,136,172,0.000411417
108,39,346,466,0.00110154
109,15,105,149,0.000334959
110,12,92,125,0.000243875
111,25,266,461,0.000772792
112,33,417,767,0.00151104
113,23,211,317,0.000699167
114,33,355,529,0.00112796
115,33,307,488,0.00110767
116,33,343,508,0.00104213
117,38,350,519,0.00137358
118,21,273,534,0.000752917
119,39,398,684,0.00139912
120,24,183,241,0.000521416
121,38,357,504,0.00120875
122,48,443,690,0.00160713
123,41,472,868,0.00172942
124,25,264,368,0.000860333
125,36,285,340,0.00118729
126,28,240,337,0.000876458
127,50,483,728,0.00189446
128,16,134,160,0.00038075
129,24,227,325,0.0006765
130,38,428,621,0.00155421
131,37,313,503,0.00106513
132,18,128,166,0.000374083
133,20,193,269,0.000565958
134,34,475,886,0.00156475
135,21,147,190,0.000472625
136,37,363,514,0.00123304
137,37,312,494,0.00103296
138,25,225,316,0.000729334
139,26,235,317,0.0008355
140,27,280,467,0.000805375
141,33,257,373,0.00103958
142,27,251,394,0.000724458
143,23,196,286,0.000566584
144,24,177,250,0.0005455
145,36,341,476,0.00132742
146,42,387,643,0.00134608
147,16,136,187,0.000397209
148,27,224,291,0.0008395
149,20,163,199,0.00047125
150,37,383,661,0.00138429
151,26,228,320,0.000672083
152,39,395,613,0.001314
153,16,104,160,0.00029875
154,29,341,563,0.00104475
155,39,426,748,0.00141254
156,38,383,640,0.00118812
157,39,377,541,0.00154013
158,31,289,404,0.000919375
159,25,213,320,0.000630958
160,35,282,383,0.00106092
161,28,312,500,0.00100837
162,29,354,671,0.00134625
163,25,282,505,0.000986458
164,26,221,303,0.000675125
165,32,308,474,0.000956125
166,29,305,438,0.001059
167,18,127,178,0.000364333
168,28,255,344,0.000929334
169,31,335,607,0.00104646
170,18,140,191,0.000490792
171,27,281,463,0.000822125
172,47,538,866,0.00176662
173,25,186,239,0.00062975
174,33,314,417,0.00104004
175,20,147,189,0.000497209
176,41,495,867,0.00192379
177,20,172,223,0.000540083
178,31,310,483,0.00102054
179,28,199,275,0.000604792
180,30,258,366,0.00078275
181,23,211,308,0.000731542
182,34,384,630,0.00116108
183,35,375,620,0.00118312
184,35,285,403,0.00113917
185,46,514,777,0.00197633
186,39,538,956,0.00200625
187,32,243,342,0.000890916
188,40,411,684,0.00146758
189,22,155,192,0.000487458
190,22,191,297,0.000691458
191,26,243,328,0.000704417
192,32,256,386,0.000862667
193,23,185,289,0.000587958
194,29,295,448,0.00104621
195,33,279,431,0.00110908
196,31,307,448,0.000963667
197,38,432,651,0.00151967
198,33,328,465,0.00107163
199,29,237,326,0.0006795
200,28,291,427,0.000824875
201,24,228,308,0.000764958
202,30,272,353,0.000889958
203,44,417,657,0.00163808
204,23,251,408,0.00073225
205,39,377,696,0.00152633
206,47,595,1102,0.00236367
207,31,304,421,0.00112242
208,29,258,377,0.000791125
209,39,375,647,0.00135979
210,34,345,630,0.00106221
211,26,227,297,0.000738375
212,41,507,954,0.00191533
213,28,289,502,0.000938708
214,25,252,357,0.00068025
215,26,249,399,0.000808417
216,28,305,478,0.00106013
217,22,209,287,0.000643
218,38,335,506,0.00110504
219,42,510,902,0.00176917
220,34,323,470,0.001156
221,26,207,302,0.000675334
222,20,201,290,0.000586167
223,33,324,500,0.00124163
224,31,304,524,0.000994834
225,48,487,750,0.00176817
226,27,223,274,0.000892416
227,46,523,798,0.00210846
228,17,153,201,0.000470209
229,34,364,577,0.00116925
230,30,311,667,0.00117075
231,28,282,482,0.000888417
232,36,363,621,0.00125858
233,35,325,469,0.00128396
234,23,227,332,0.000643084
235,32,329,506,0.000995708
236,32,348,620,0.00100629
237,33,318,469,0.00103921
238,40,493,888,0.00170542
239,34,387,602,0.00136654
240,22,194,309,0.000582833
241,29,241,379,0.000823625
